,count
agricultural worker,22487
armed force officer field officer,14309
armed force officer general officer,8221
skilled manual worker,7852
armed force officer company officer,7603
doctor dentist veterinarian related medical associate staff,6170
semi skilled manual worker,5835
unskilled manual worker,5814
professional worker lawyer,5679
nonmanual office worker nonsupervisor,5318
armed force,5022
armed force officer sergeant,4857
supervisory office worker,3837
employer manager establishment le x employee,3318
skilled,3259
bricklayer carpenter joiner construction worker,2391
supervisory,2370
apprentice laborer nec,2319
production related worker,2190
shop salesperson demonstrator,2178
professional worker,2046
field crop vegetable grower,1951
associate worker,1892
painter,1732
junior,1600
technical commercial sale represent,1598
statistician mathematician system analyst,1595
middle level non manual office worker,1562
never job,1555
aircraft ship managing officer,1547
unskilled worked,1540
never worked,1488
cook,1335
agricultural animal husbandry worker,1275
teacher,1231
clerical example secretary clerk office manager civil servant bookkeeper clerical,1194
farmer farm,1181
car taxi van driver,1095
maid related worker,1083
waiter waitress bartender,1074
professional technical example doctor teacher engineer artist accountant nurse professional technical,1041
accounting bookkeeping clerk,858
secretary keyboard operating clerk,847
service example restaurant owner police officer waitress barber caretaker service,840
stall market salesperson,837
director chief executive,826
n teacher technical college,817
legislator government administrator,774
wholesale retail owner,764
operator engine related equipment,763
n wholesale merchant,756
secretary,753
primary educteaching prof,743
surveyor cartographer engineering technician,718
sale example sale manager shop owner shop assistant insurance agent buyer sale,711
production clerk,701
housekeeping rest service worker,691
child care worker,690
building caretaker cleaner nec,686
hairdresser beautician relworkers,682
restaurant manager owner,674
hand packer manufacturing lab,673
telegraph operator,668
electronics telecommunication techn,666
usa miscoffice supervisor,631
skilled worker example foreman motor mechanic printer seamstress tool die maker electrician skilled worker,613
operator transportation equipment,611
assembling labourer,606
receptionist information clerk,600
stock clerk,542
motor vehicle mechanic fitter,535
furniture maker related woodware maker,531
launderers ironers,530
religious professional,529
foreman supervisor,528
writing art entertainment related professional,525
word processor reloperators,519
tree shrub crop grower,507
architect engineer,494
bookkeeper,492
business clerical supervisor,488
biologist related science technician,482
n shop staff sale staff,478
insurance representative,464
protective service,462
semi skilled worker example bricklayer bus driver cannery worker carpenter sheet metal worker baker semi skilled worker,453
helper cleaner office hotel,449
administrative secretary relprof,443
protective service worker nec,436
post clerk,428
building construction labourer,419
sale investigator procurement worker,418
street vendor non food product,414
unskilled worker example labourer porter unskilled factory worker cleaner unskilled worker,410
nursing midwifery professional,403
medical doctor,392
office clerk,385
heavy truck lorry driver,383
semi skilled worker,381
